table,panel,window,series,field,observed,expected,match
T1,Painel C,10Y,Portfólio B (TR),mult_10Y,"5,40","5,40",True
T1,Painel C,15Y,Portfólio B (TR),mult_15Y,"4,95","4,95",True
T1,Painel C,20Y,Portfólio B (TR),mult_20Y,"13,88","13,88",True
T1,Painel C,25Y,Portfólio B (TR),mult_25Y,"40,85","40,85",True
T1,Painel C,5Y,Portfólio B (TR),cagr_5Y,"8,74","8,74",True
T1,Painel C,10Y,Portfólio B (TR),cagr_10Y,"18,69","18,69",True
T1,Painel C,15Y,Portfólio B (TR),cagr_15Y,"11,45","11,45",True
T1,Painel C,20Y,Portfólio B (TR),cagr_20Y,"14,31","14,31",True
T1,Painel C,25Y,Portfólio B (TR),cagr_25Y,"16,29","16,29",True
T1,Painel C,5Y,Portfólio C (TR),mult_5Y,"1,81","1,81",True
T1,Painel C,10Y,Portfólio C (TR),mult_10Y,"5,34","5,34",True
T1,Painel C,15Y,Portfólio C (TR),mult_15Y,"5,12","5,12",True
T1,Painel C,20Y,Portfólio C (TR),mult_20Y,"12,88","12,88",True
T1,Painel C,25Y,Portfólio C (TR),mult_25Y,"52,12","52,12",True
T1,Painel C,5Y,Portfólio C (TR),cagr_5Y,"12,72","12,72",True
T1,Painel C,10Y,Portfólio C (TR),cagr_10Y,"18,56","18,56",True
T1,Painel C,15Y,Portfólio C (TR),cagr_15Y,"11,70","11,70",True
T1,Painel C,20Y,Portfólio C (TR),cagr_20Y,"13,88","13,88",True
T1,Painel C,25Y,Portfólio C (TR),cagr_25Y,"17,45","17,45",True
T1,Painel C,5Y,CDI (TR),mult_5Y,"1,52","1,52",True
T1,Painel C,10Y,CDI (TR),mult_10Y,"2,42","2,42",True
T1,Painel C,15Y,CDI (TR),mult_15Y,"3,86","3,86",True
T1,Painel C,20Y,CDI (TR),mult_20Y,"7,23","7,23",True
T1,Painel C,25Y,CDI (TR),mult_25Y,"16,94","16,94",True
T1,Painel C,5Y,CDI (TR),cagr_5Y,"8,81","8,81",True
T1,Painel C,10Y,CDI (TR),cagr_10Y,"9,28","9,28",True
T1,Painel C,15Y,CDI (TR),cagr_15Y,"9,45","9,45",True
T1,Painel C,20Y,CDI (TR),cagr_20Y,"10,44","10,44",True
T1,Painel C,25Y,CDI (TR),cagr_25Y,"12,03","12,03",True
T1,Painel C,5Y,Ibovespa (TR),mult_5Y,"1,12","1,12",True
T1,Painel C,10Y,Ibovespa (TR),mult_10Y,"2,59","2,59",True
T1,Painel C,15Y,Ibovespa (TR),mult_15Y,"1,93","1,93",True
T1,Painel C,20Y,Ibovespa (TR),mult_20Y,"4,75","4,75",True
T1,Painel C,25Y,Ibovespa (TR),mult_25Y,"6,75","6,75",True
T1,Painel C,5Y,Ibovespa (TR),cagr_5Y,"2,24","2,24",True
T1,Painel C,10Y,Ibovespa (TR),cagr_10Y,"10,15","10,15",True
T1,Painel C,15Y,Ibovespa (TR),cagr_15Y,"4,56","4,56",True
T1,Painel C,20Y,Ibovespa (TR),cagr_20Y,"8,25","8,25",True
T1,Painel C,25Y,Ibovespa (TR),cagr_25Y,"8,08","8,08",True
T1,Painel C,5Y,S&P 500 em BRL (PR),mult_5Y,"2,42","2,42",True
T1,Painel C,10Y,S&P 500 em BRL (PR),mult_10Y,"6,04","6,04",True
T1,Painel C,15Y,S&P 500 em BRL (PR),mult_15Y,"17,76","17,76",True
T1,Painel C,20Y,S&P 500 em BRL (PR),mult_20Y,"11,22","11,22",True
T1,Painel C,25Y,S&P 500 em BRL (PR),mult_25Y,"13,99","13,99",True
T1,Painel C,5Y,S&P 500 em BRL (PR),cagr_5Y,"19,39","19,39",True
